year,city,country,avg_temp
1743,Toronto,Canada,-0.11
1744,Toronto,Canada,8.38
1745,Toronto,Canada,-3.96
1746,Toronto,Canada,
1747,Toronto,Canada,
1748,Toronto,Canada,
1749,Toronto,Canada,
1750,Toronto,Canada,6.29
1751,Toronto,Canada,6.84
1752,Toronto,Canada,-1.10
1753,Toronto,Canada,5.76
1754,Toronto,Canada,5.94
1755,Toronto,Canada,2.81
1756,Toronto,Canada,6.37
1757,Toronto,Canada,5.13
1758,Toronto,Canada,4.37
1759,Toronto,Canada,5.27
1760,Toronto,Canada,3.74
1761,Toronto,Canada,6.25
1762,Toronto,Canada,5.79
1763,Toronto,Canada,3.32
1764,Toronto,Canada,5.76
1765,Toronto,Canada,5.14
1766,Toronto,Canada,6.27
1767,Toronto,Canada,4.74
1768,Toronto,Canada,4.81
1769,Toronto,Canada,5.44
1770,Toronto,Canada,5.35
1771,Toronto,Canada,6.23
1772,Toronto,Canada,5.93
1773,Toronto,Canada,6.22
1774,Toronto,Canada,5.64
1775,Toronto,Canada,6.64
1776,Toronto,Canada,5.69
1777,Toronto,Canada,5.23
1778,Toronto,Canada,3.18
1779,Toronto,Canada,6.10
1780,Toronto,Canada,8.70
1781,Toronto,Canada,5.96
1782,Toronto,Canada,5.39
1783,Toronto,Canada,5.11
1784,Toronto,Canada,4.90
1785,Toronto,Canada,4.83
1786,Toronto,Canada,5.35
1787,Toronto,Canada,5.37
1788,Toronto,Canada,6.00
1789,Toronto,Canada,5.70
1790,Toronto,Canada,5.64
1791,Toronto,Canada,5.72
1792,Toronto,Canada,5.15
1793,Toronto,Canada,6.02
1794,Toronto,Canada,6.05
1795,Toronto,Canada,5.60
1796,Toronto,Canada,5.48
1797,Toronto,Canada,5.21
1798,Toronto,Canada,6.03
1799,Toronto,Canada,5.62
1800,Toronto,Canada,5.85
1801,Toronto,Canada,6.23
1802,Toronto,Canada,6.46
1803,Toronto,Canada,6.23
1804,Toronto,Canada,6.02
1805,Toronto,Canada,6.49
1806,Toronto,Canada,5.70
1807,Toronto,Canada,5.49
1808,Toronto,Canada,5.66
1809,Toronto,Canada,4.90
1810,Toronto,Canada,5.24
1811,Toronto,Canada,5.38
1812,Toronto,Canada,3.97
1813,Toronto,Canada,5.31
1814,Toronto,Canada,5.16
1815,Toronto,Canada,4.52
1816,Toronto,Canada,4.00
1817,Toronto,Canada,4.12
1818,Toronto,Canada,4.84
1819,Toronto,Canada,5.07
1820,Toronto,Canada,5.08
1821,Toronto,Canada,4.88
1822,Toronto,Canada,5.64
1823,Toronto,Canada,4.86
1824,Toronto,Canada,5.38
1825,Toronto,Canada,6.46
1826,Toronto,Canada,6.23
1827,Toronto,Canada,6.03
1828,Toronto,Canada,6.82
1829,Toronto,Canada,5.46
1830,Toronto,Canada,6.23
1831,Toronto,Canada,4.96
1832,Toronto,Canada,5.90
1833,Toronto,Canada,5.88
1834,Toronto,Canada,6.16
1835,Toronto,Canada,5.11
1836,Toronto,Canada,4.27
1837,Toronto,Canada,4.89
1838,Toronto,Canada,4.48
1839,Toronto,Canada,5.62
1840,Toronto,Canada,5.88
1841,Toronto,Canada,5.33
1842,Toronto,Canada,5.75
1843,Toronto,Canada,4.81
1844,Toronto,Canada,5.80
1845,Toronto,Canada,5.81
1846,Toronto,Canada,6.47
1847,Toronto,Canada,5.11
1848,Toronto,Canada,5.68
1849,Toronto,Canada,5.18
1850,Toronto,Canada,5.45
1851,Toronto,Canada,5.45
1852,Toronto,Canada,5.27
1853,Toronto,Canada,5.70
1854,Toronto,Canada,5.90
1855,Toronto,Canada,5.16
1856,Toronto,Canada,4.26
1857,Toronto,Canada,4.64
1858,Toronto,Canada,5.93
1859,Toronto,Canada,5.54
1860,Toronto,Canada,5.58
1861,Toronto,Canada,5.45
1862,Toronto,Canada,5.21
1863,Toronto,Canada,5.36
1864,Toronto,Canada,5.47
1865,Toronto,Canada,5.70
1866,Toronto,Canada,4.88
1867,Toronto,Canada,5.11
1868,Toronto,Canada,4.59
1869,Toronto,Canada,4.74
1870,Toronto,Canada,6.22
1871,Toronto,Canada,5.26
1872,Toronto,Canada,4.83
1873,Toronto,Canada,4.64
1874,Toronto,Canada,5.47
1875,Toronto,Canada,3.47
1876,Toronto,Canada,5.41
1877,Toronto,Canada,6.48
1878,Toronto,Canada,7.15
1879,Toronto,Canada,5.36
1880,Toronto,Canada,6.19
1881,Toronto,Canada,6.31
1882,Toronto,Canada,5.97
1883,Toronto,Canada,4.06
1884,Toronto,Canada,5.29
1885,Toronto,Canada,3.83
1886,Toronto,Canada,5.17
1887,Toronto,Canada,5.30
1888,Toronto,Canada,4.39
1889,Toronto,Canada,5.96
1890,Toronto,Canada,5.71
1891,Toronto,Canada,6.28
1892,Toronto,Canada,5.40
1893,Toronto,Canada,4.83
1894,Toronto,Canada,6.64
1895,Toronto,Canada,5.12
1896,Toronto,Canada,5.75
1897,Toronto,Canada,5.89
1898,Toronto,Canada,6.59
1899,Toronto,Canada,5.70
1900,Toronto,Canada,6.47
1901,Toronto,Canada,5.70
1902,Toronto,Canada,5.80
1903,Toronto,Canada,5.79
1904,Toronto,Canada,3.85
1905,Toronto,Canada,5.21
1906,Toronto,Canada,6.19
1907,Toronto,Canada,4.83
1908,Toronto,Canada,6.22
1909,Toronto,Canada,5.83
1910,Toronto,Canada,5.77
1911,Toronto,Canada,6.43
1912,Toronto,Canada,4.82
1913,Toronto,Canada,6.68
1914,Toronto,Canada,5.59
1915,Toronto,Canada,6.00
1916,Toronto,Canada,5.89
1917,Toronto,Canada,3.91
1918,Toronto,Canada,5.57
1919,Toronto,Canada,6.54
1920,Toronto,Canada,5.24
1921,Toronto,Canada,7.75
1922,Toronto,Canada,6.50
1923,Toronto,Canada,5.49
1924,Toronto,Canada,4.86
1925,Toronto,Canada,5.63
1926,Toronto,Canada,4.34
1927,Toronto,Canada,6.10
1928,Toronto,Canada,5.86
1929,Toronto,Canada,5.47
1930,Toronto,Canada,6.44
1931,Toronto,Canada,7.56
1932,Toronto,Canada,6.62
1933,Toronto,Canada,6.66
1934,Toronto,Canada,5.44
1935,Toronto,Canada,5.60
1936,Toronto,Canada,5.55
1937,Toronto,Canada,6.32
1938,Toronto,Canada,6.91
1939,Toronto,Canada,6.14
1940,Toronto,Canada,5.06
1941,Toronto,Canada,6.68
1942,Toronto,Canada,6.26
1943,Toronto,Canada,5.19
1944,Toronto,Canada,6.49
1945,Toronto,Canada,5.90
1946,Toronto,Canada,6.90
1947,Toronto,Canada,6.18
1948,Toronto,Canada,6.38
1949,Toronto,Canada,7.31
1950,Toronto,Canada,5.64
1951,Toronto,Canada,6.26
1952,Toronto,Canada,7.01
1953,Toronto,Canada,7.51
1954,Toronto,Canada,6.24
1955,Toronto,Canada,6.97
1956,Toronto,Canada,5.75
1957,Toronto,Canada,6.42
1958,Toronto,Canada,5.62
1959,Toronto,Canada,6.40
1960,Toronto,Canada,5.90
1961,Toronto,Canada,6.46
1962,Toronto,Canada,5.89
1963,Toronto,Canada,5.49
1964,Toronto,Canada,6.50
1965,Toronto,Canada,5.59
1966,Toronto,Canada,6.03
1967,Toronto,Canada,5.66
1968,Toronto,Canada,6.11
1969,Toronto,Canada,6.03
1970,Toronto,Canada,5.98
1971,Toronto,Canada,6.37
1972,Toronto,Canada,5.22
1973,Toronto,Canada,7.23
1974,Toronto,Canada,6.01
1975,Toronto,Canada,6.75
1976,Toronto,Canada,5.47
1977,Toronto,Canada,6.19
1978,Toronto,Canada,5.24
1979,Toronto,Canada,5.90
1980,Toronto,Canada,5.48
1981,Toronto,Canada,6.16
1982,Toronto,Canada,6.04
1983,Toronto,Canada,6.78
1984,Toronto,Canada,6.42
1985,Toronto,Canada,6.13
1986,Toronto,Canada,6.56
1987,Toronto,Canada,7.46
1988,Toronto,Canada,6.56
1989,Toronto,Canada,5.70
1990,Toronto,Canada,7.41
1991,Toronto,Canada,7.55
1992,Toronto,Canada,5.79
1993,Toronto,Canada,5.87
1994,Toronto,Canada,5.95
1995,Toronto,Canada,6.38
1996,Toronto,Canada,5.81
1997,Toronto,Canada,6.00
1998,Toronto,Canada,8.54
1999,Toronto,Canada,7.75
2000,Toronto,Canada,6.67
2001,Toronto,Canada,7.76
2002,Toronto,Canada,7.48
2003,Toronto,Canada,6.02
2004,Toronto,Canada,6.40
2005,Toronto,Canada,7.22
2006,Toronto,Canada,7.85
2007,Toronto,Canada,7.07
2008,Toronto,Canada,6.58
2009,Toronto,Canada,6.28
2010,Toronto,Canada,7.77
2011,Toronto,Canada,7.30
2012,Toronto,Canada,8.66
2013,Toronto,Canada,8.46
